Entity,Code,Year,"Meat, poultry | 00002734 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, beef | 00002731 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, sheep and goat | 00002732 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, pig | 00002733 || Food available for consumption | 0645pc || kilograms per year per capita","Meat, Other | 00002735 || Food available for consumption | 0645pc || kilograms per year per capita",Fish and seafood | 00002960 || Food available for consumption | 0645pc || kilograms per year per capita
Haiti,HTI,2021,12.189995,4.2999983,0.6099998,4.0599985,0.37999985,4.969998
High-income countries,,2021,36.581417,21.558123,1.7038838,32.0289,0.8947189,26.37317
Honduras,HND,2021,23.690008,6.5800023,0.03000001,8.4000025,0.05000002,4.5500016
Hong Kong,HKG,2021,58.34,32.94,1.33,52.16,2.07,65.84
Hungary,HUN,2021,25.730015,5.770004,0.10000006,49.990032,0.4900003,6.3300037
Iceland,ISL,2021,29.659359,14.859678,17.349625,19.879568,1.7899612,87.7081
India,IND,2021,2.63,2.25,0.58,0.23,0,7.96
Indonesia,IDN,2021,14.2,2.71,0.43,1.2,0.01,44.4
Iran,IRN,2021,23.97,4.38,3.14,0,0.09,12.06
Iraq,IRQ,2021,10.747225,3.122099,1.3466196,0.3430878,0.09434914,2.8476286
Ireland,IRL,2021,26.840027,19.45002,3.5700033,27.810026,2.5200024,20.080019
Israel,ISR,2021,69.330025,31.960009,4.9600015,1.4300003,0.010000003,22.540007
Italy,ITA,2021,20.609999,15.979998,0.8099999,35.869995,1.0399998,29.519997
Jamaica,JAM,2021,52.02998,7.329997,0.8799997,3.0899987,0.07999997,27.58999
Japan,JPN,2021,25.47,9.54,0.12,21.94,0.1,45.12
Jordan,JOR,2021,24.399982,7.5199947,3.9599972,0.009999993,0.06999995,4.7399964
Kazakhstan,KAZ,2021,20.100002,27.120005,9.080001,8.780001,6.760001,3.6800005
Kenya,KEN,2021,1.6999998,4.7199993,2.0499997,0.40999994,1.3699999,2.8899996
Kiribati,KIR,2021,30.086964,6.1693773,0.27997175,15.3784485,0.47995156,74.3225
